2025-01-30 13:40:23,712 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:24,403 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:25,311 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:26,275 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:27,187 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:28,403 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:29,402 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:29,935 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:30,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:31,451 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:31,966 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:32,600 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:33,316 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:34,487 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:35,599 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:36,764 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:38,063 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:38,746 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:39,497 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:40,328 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:41,744 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:42,793 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:44,093 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:44,526 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:45,958 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:47,557 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:49,158 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:50,007 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:50,739 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:51,588 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:52,404 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:53,254 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:53,420 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:54,122 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:55,052 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:55,862 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:56,626 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:57,649 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:58,312 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:40:59,475 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:00,709 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:02,152 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:03,616 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:04,412 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:05,672 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:06,721 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:07,433 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:08,030 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:08,320 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:08,559 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:09,629 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:10,188 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:10,612 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:11,676 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:12,038 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:12,333 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:12,961 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:13,495 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:14,318 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:15,064 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:15,825 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:16,964 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:17,455 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:18,147 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:18,972 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:19,552 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:19,932 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:20,987 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:21,929 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:22,565 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:23,272 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:23,840 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:24,187 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:24,429 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:24,872 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:25,982 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:26,291 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:27,004 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:28,002 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:28,611 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:29,154 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:30,396 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:31,010 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:31,549 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:32,158 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:32,687 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:33,824 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:34,231 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:34,905 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:35,712 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:35,971 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:37,181 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:37,733 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:38,824 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:39,566 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:40,187 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:41,022 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:41,699 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:42,421 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:43,213 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:43,536 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:44,304 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:45,043 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:46,288 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:47,120 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:47,702 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:48,276 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:49,650 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:50,145 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:50,795 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:51,577 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:52,239 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:52,822 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:54,045 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:54,350 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:54,892 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:55,466 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:56,781 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:57,217 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:57,650 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:58,233 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:58,803 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:41:59,402 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:00,511 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:01,316 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:02,224 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:02,924 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:03,639 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:04,521 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:05,458 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:06,215 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:07,584 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-30 13:42:08,389 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
